Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Atlanta Braves,1,1904,Boston Beaneaters,,,8,NL,,55,98,0.359477124,none,7,,n,,South End Grounds III,140694,1781,8th of 8,$,101,96,
Baltimore Orioles,9,1904,St. Louis Browns,,,2,AL,,65,87,0.427631579,none,6,,n ,,Sportsman's Park II,318108,4078,5th of 8,$,96,94,
Boston Red Socks,10,1904,Boston Americans,,,2,AL,,95,59,0.616883117,none,1,,n,,Huntington Avenue Baseball Grounds,623295,7695,1st of 8,$,103,106,
Chicago Cubs,2,1904,Chicago Cubs,,,1,NL,,93,60,0.607843137,none,2,,n ,,West Side Grounds,439100,5629,2nd of 8,$,98,100,
Chicago White Sox,11,1904,Chicago White Sox,,,1,AL,,89,65,0.577922078,none,3,,n,,South Side Park III,557123,7143,2nd of 8,$,95,96,
Cincinnati Reds,3,1904,Cincinnati Reds,,,3,NL,,88,65,0.575163399,none,3,,n,,Palace of the Fans,391915,4961,4th of 8,$,107,109,
Cleveland Indians,12,1904,Cleveland Naps,,,2,AL,,86,65,0.569536424,none,4,,n,,League Park I,264749,3394,6th of 8,$,98,99,
Detroit Tigers,13,1904,Detroit Tigers,,,1,AL,,62,90,0.407894737,none,7,,n ,,Bennett Park,177796,2251,7th of 8,$,98,97,
Los Angeles Dodgers,8,1904,Brooklyn Superbas,,,6,NL,,56,97,0.366013072,none,6,,n ,,Washington Park III,214600,2824,6th of 8,$,100,97,
Minnesota Twins,14,1904,Washington Senators,,,2,AL,,38,113,0.251655629,none,8,,n,,American League Park II,131744,1689,8th of 8,$,102,98,
New York Yankees,15,1904,New York Highlanders,,,2,AL,,92,59,0.609271523,none,2,,n ,,Hilltop Park &  Wiedenmeyer's Park,438919,5852,4th of 8,$,104,105,
