Franchise,Num,Year,Tm,Abbrev,Now,ActiveVal,Lg,Div,W,L,Wpct,TopWpct,Finish,Playoffs,WorldSeries,PlayoffRecord,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,AvgAttend
Washington Nationals,24,1975,Montreal Expos,,,2,NL,East,75,87,0.462962963,none,5,,n ,,Parc Jarry,908292,11213,9th of 12,$,106,104,
Kansas City Royals,21,1976,Kansas City Royals,,,1,AL,West,90,72,0.555555556,none,1,Lost ALCS ,n ,3-2),Royals Stadium,1680265,20744,3rd of 12,$,100,102,
Philadelphia Phillies,6,1976,Philadelphia Phillies,,,1,NL,East,101,61,0.62345679,none,1,Lost NLCS ,n ,3-0),Veterans Stadium,2480150,30619,2nd of 12,$,102,104,
New York Yankees,15,1976,New York Yankees,,,1,AL,East,97,62,0.610062893,toppct,1,Lost_WS ,n ,4-0),Yankee Stadium IIx,2012434,25155,1st of 12,$,98,100,
Cincinnati Reds,3,1976,Cincinnati Reds,,,1,NL,West,102,60,0.62962963,both,1,Won_WS ,y,4-0),Riverfront Stadium,2629708,32466,1st of 12,$,100,102,
Atlanta Braves,1,1976,Atlanta Braves,,,1,NL,West,70,92,0.432098765,none,6,,n ,,Atlanta-Fulton County Stadium,818179,10101,10th of 12,$,108,106,
Baltimore Orioles,9,1976,Baltimore Orioles,,,1,AL,East,88,74,0.543209877,none,2,,n,,Memorial Stadium,1058609,13069,6th of 12,$,93,94,
Boston Red Socks,10,1976,Boston Red Sox,,,1,AL,East,83,79,0.512345679,none,3,,n,,Fenway Park,1895846,23406,2nd of 12,$,112,113,
Chicago Cubs,2,1976,Chicago Cubs,,,1,NL,East,75,87,0.462962963,none,4,,n,,Wrigley Field,1026217,12669,7th of 12,$,109,108,
Chicago White Sox,11,1976,Chicago White Sox,,,1,AL,West,64,97,0.397515528,none,6,,n,,Comiskey Park I,914945,11437,10th of 12,$,102,101,
Cleveland Indians,12,1976,Cleveland Indians,,,1,AL,East,81,78,0.509433962,none,4,,n,,Cleveland Stadium,948776,12010,9th of 12,$,98,98,
Detroit Tigers,13,1976,Detroit Tigers,,,1,AL,East,74,87,0.459627329,none,5,,n,,Tiger Stadium,1467020,18338,4th of 12,$,105,103,
Houston Astros,19,1976,Houston Astros,,,1,NL,West,80,82,0.49382716,none,3,,n,,Astrodome,886146,10807,9th of 12,$,91,91,
Los Angeles Angels of Anaheim,17,1976,California Angels,,,3,AL,West,76,86,0.469135802,none,4,,n ,,Anaheim Stadium,1006774,12429,8th of 12,$,94,93,
Los Angeles Dodgers,8,1976,Los Angeles Dodgers,,,1,NL,West,92,70,0.567901235,none,2,,n,,Dodger Stadium,2386301,29461,3rd of 12,$,97,98,
Milwaukee Brewers,22,1976,Milwaukee Brewers,,,1,AL,East,66,95,0.409937888,none,6,,n,,County Stadium,1012164,12496,7th of 12,$,99,98,
Minnesota Twins,14,1976,Minnesota Twins,,,1,AL,West,85,77,0.524691358,none,3,,n,,Metropolitan Stadium,715394,8832,12th of 12,$,102,103,
New York Mets,20,1976,New York Mets,,,1,NL,East,86,76,0.530864198,none,3,,n,,Shea Stadium,1468754,17912,5th of 12,$,94,94,
Oakland Athletics,16,1976,Oakland Athletics,,,1,AL,West,87,74,0.540372671,none,2,,n ,,Oakland-Alameda County Coliseum,780593,9637,11th of 12,$,95,95,
Pittsburgh Pirates,4,1976,Pittsburgh Pirates,,,1,NL,East,92,70,0.567901235,none,2,,n,,Three Rivers Stadium,1025945,12666,8th of 12,$,99,100,
San Diego Padres,23,1976,San Diego Padres,,,1,NL,West,73,89,0.450617284,none,5,,n,,San Diego Stadium,1458478,18231,4th of 12,$,94,92,
San Francisco Giants,7,1976,San Francisco Giants,,,1,NL,West,74,88,0.456790123,none,4,,n,,Candlestick Park,626868,7739,12th of 12,$,103,103,
St. Louis Cardinals,5,1976,St. Louis Cardinals,,,1,NL,East,72,90,0.444444444,none,5,,n,,Busch Stadium II,1207079,14902,6th of 12,$,101,101,
Texas Rangers,18,1976,Texas Rangers,,,1,AL,West,76,86,0.469135802,none,4,,n,,Arlington Stadium,1164982,14382,5th of 12,$,102,102,
Washington Nationals,24,1976,Montreal Expos,,,2,NL,East,55,107,0.339506173,none,6,,n ,,Parc Jarry,646704,8084,11th of 12,$,107,105,
Kansas City Royals,21,1977,Kansas City Royals,,,1,AL,West,102,60,0.62962963,toppct,1,Lost ALCS ,n ,3-2),Royals Stadium,1852603,22872,3rd of 14,$,100,102,
Philadelphia Phillies,6,1977,Philadelphia Phillies,,,1,NL,East,101,61,0.62345679,toppct,1,Lost NLCS ,n ,3-1),Veterans Stadium,2700070,33334,2nd of 12,$,103,105,
Los Angeles Dodgers,8,1977,Los Angeles Dodgers,,,1,NL,West,98,64,0.604938272,none,1,Lost_WS ,n ,4-2),Dodger Stadium,2955087,36483,1st of 12,$,98,100,
New York Yankees,15,1977,New York Yankees,,,1,AL,East,100,62,0.617283951,worldseries,1,Won_WS ,y,4-2),Yankee Stadium II,2103092,25964,1st of 14,$,97,99,
Atlanta Braves,1,1977,Atlanta Braves,,,1,NL,West,61,101,0.37654321,none,6,,n ,,Atlanta-Fulton County Stadium,872464,10771,11th of 12,$,114,112,
Baltimore Orioles,9,1977,Baltimore Orioles,,,1,AL,East,97,64,0.602484472,none,2,,n,,Memorial Stadium,1195769,14763,10th of 14,$,94,94,
Boston Red Socks,10,1977,Boston Red Sox,,,1,AL,East,97,64,0.602484472,none,2,,n,,Fenway Park,2074549,25932,2nd of 14,$,112,113,
Chicago Cubs,2,1977,Chicago Cubs,,,1,NL,East,81,81,0.5,none,4,,n,,Wrigley Field,1439834,17776,5th of 12,$,112,111,
Chicago White Sox,11,1977,Chicago White Sox,,,1,AL,West,90,72,0.555555556,none,3,,n,,Comiskey Park I,1657135,20458,5th of 14,$,101,100,
Cincinnati Reds,3,1977,Cincinnati Reds,,,1,NL,West,88,74,0.543209877,none,2,,n,,Riverfront Stadium,2519670,31107,3rd of 12,$,101,102,
Cleveland Indians,12,1977,Cleveland Indians,,,1,AL,East,71,90,0.440993789,none,5,,n,,Cleveland Stadium,900365,11116,13th of 14,$,97,96,
Detroit Tigers,13,1977,Detroit Tigers,,,1,AL,East,74,88,0.456790123,none,4,,n,,Tiger Stadium,1359856,16788,7th of 14,$,105,105,
Houston Astros,19,1977,Houston Astros,,,1,NL,West,81,81,0.5,none,3,,n,,Astrodome,1109560,13698,9th of 12,$,91,91,
Los Angeles Angels of Anaheim,17,1977,California Angels,,,3,AL,West,74,88,0.456790123,none,5,,n ,,Anaheim Stadium,1432633,17687,6th of 14,$,96,96,
Milwaukee Brewers,22,1977,Milwaukee Brewers,,,1,AL,East,67,95,0.413580247,none,6,,n,,County Stadium,1114938,13765,12th of 14,$,100,100,
Minnesota Twins,14,1977,Minnesota Twins,,,1,AL,West,84,77,0.52173913,none,4,,n,,Metropolitan Stadium,1162727,14534,11th of 14,$,99,99,
New York Mets,20,1977,New York Mets,,,1,NL,East,64,98,0.395061728,none,6,,n,,Shea Stadium,1066825,13504,10th of 12,$,95,95,
Oakland Athletics,16,1977,Oakland Athletics,,,1,AL,West,63,98,0.391304348,none,7,,n ,,Oakland-Alameda County Coliseum,495599,6119,14th of 14,$,98,97,
Pittsburgh Pirates,4,1977,Pittsburgh Pirates,,,1,NL,East,96,66,0.592592593,none,2,,n,,Three Rivers Stadium,1237349,15276,8th of 12,$,101,102,
San Diego Padres,23,1977,San Diego Padres,,,1,NL,West,69,93,0.425925926,none,5,,n,,San Diego Stadium,1376269,16991,7th of 12,$,91,90,
San Francisco Giants,7,1977,San Francisco Giants,,,1,NL,West,75,87,0.462962963,none,4,,n,,Candlestick Park,700056,8643,12th of 12,$,100,99,
Seattle Mariners,25,1977,Seattle Mariners,SEA,,1,AL,West,64,98,0.395061728,none,6,,n,,Kingdome,1338511,16525,8th of 14,$,101,99,
St. Louis Cardinals,5,1977,St. Louis Cardinals,,,1,NL,East,83,79,0.512345679,none,3,,n,,Busch Stadium II,1659287,19991,4th of 12,$,99,99,
Texas Rangers,18,1977,Texas Rangers,,,1,AL,West,94,68,0.580246914,none,2,,n,,Arlington Stadium,1250722,15441,9th of 14,$,101,101,
Toronto Blue Jays,26,1977,Toronto Blue Jays,TOR,,1,AL,East,54,107,0.335403727,none,7,,n ,,Exhibition Stadium,1701052,21263,4th of 14,$,103,101,
Washington Nationals,24,1977,Montreal Expos,,,2,NL,East,75,87,0.462962963,none,5,,n ,,Stade Olympique,1433757,17701,6th of 12,$,97,97,
Kansas City Royals,21,1978,Kansas City Royals,,,1,AL,West,92,70,0.567901235,none,1,Lost ALCS ,n,3-1),Royals Stadium,2255493,27846,3rd of 14,$,102,103,
Philadelphia Phillies,6,1978,Philadelphia Phillies,,,1,NL,East,90,72,0.555555556,none,1,Lost NLCS ,n ,3-1),Veterans Stadium,2583389,31505,3rd of 12,$,100,101,
Los Angeles Dodgers,8,1978,Los Angeles Dodgers,,,1,NL,West,95,67,0.586419753,toppct,1,Lost_WS ,n ,4-2),Dodger Stadium,3347845,41331,1st of 12,$,98,100,
New York Yankees,15,1978,New York Yankees,,,1,AL,East,100,63,0.613496933,worldseries,1,Won_WS ,y,4-2),Yankee Stadium II,2335871,28838,1st of 14,$,96,97,
Atlanta Braves,1,1978,Atlanta Braves,,,1,NL,West,69,93,0.425925926,none,6,,n ,,Atlanta-Fulton County Stadium,904494,11167,12th of 12,$,114,112,
Baltimore Orioles,9,1978,Baltimore Orioles,,,1,AL,East,90,71,0.559006211,none,4,,n ,,Memorial Stadium,1051724,12984,10th of 14,$,93,94,
Chicago Cubs,2,1978,Chicago Cubs,,,1,NL,East,79,83,0.487654321,none,3,,n,,Wrigley Field,1525311,18601,6th of 12,$,112,112,
Chicago White Sox,11,1978,Chicago White Sox,,,1,AL,West,71,90,0.440993789,none,5,,n,,Comiskey Park I,1491100,18639,8th of 14,$,102,101,
Cincinnati Reds,3,1978,Cincinnati Reds,,,1,NL,West,92,69,0.571428571,none,2,,n,,Riverfront Stadium,2532497,31656,2nd of 12,$,100,100,
Cleveland Indians,12,1978,Cleveland Indians,,,1,AL,East,69,90,0.433962264,none,6,,n,,Cleveland Stadium,800584,10264,12th of 14,$,100,99,
Detroit Tigers,13,1978,Detroit Tigers,,,1,AL,East,86,76,0.530864198,none,5,,n,,Tiger Stadium,1714893,21172,5th of 14,$,103,103,
Houston Astros,19,1978,Houston Astros,,,1,NL,West,74,88,0.456790123,none,5,,n,,Astrodome,1126145,13903,9th of 12,$,92,92,
Los Angeles Angels of Anaheim,17,1978,California Angels,,,3,AL,West,87,75,0.537037037,none,2,,n ,,Anaheim Stadium,1755386,21671,4th of 14,$,96,96,
Milwaukee Brewers,22,1978,Milwaukee Brewers,,,1,AL,East,93,69,0.574074074,none,3,,n,,County Stadium,1601406,19770,6th of 14,$,100,100,
Minnesota Twins,14,1978,Minnesota Twins,,,1,AL,West,73,89,0.450617284,none,4,,n,,Metropolitan Stadium,787878,9727,13th of 14,$,102,102,
New York Mets,20,1978,New York Mets,,,1,NL,East,66,96,0.407407407,none,6,,n,,Shea Stadium,1007328,12592,10th of 12,$,97,96,
Oakland Athletics,16,1978,Oakland Athletics,,,1,AL,West,69,93,0.425925926,none,6,,n ,,Oakland-Alameda County Coliseum,526999,6587,14th of 14,$,96,94,
Pittsburgh Pirates,4,1978,Pittsburgh Pirates,,,1,NL,East,88,73,0.546583851,none,2,,n,,Three Rivers Stadium,964106,11903,11th of 12,$,104,105,
San Diego Padres,23,1978,San Diego Padres,,,1,NL,West,84,78,0.518518519,none,4,,n,,San Diego Stadium,1670107,20619,5th of 12,$,92,91,
San Francisco Giants,7,1978,San Francisco Giants,,,1,NL,West,89,73,0.549382716,none,3,,n,,Candlestick Park,1740477,21487,4th of 12,$,96,96,
Seattle Mariners,25,1978,Seattle Mariners,,,1,AL,West,56,104,0.35,none,7,,n,,Kingdome,877440,10833,11th of 14,$,101,100,
St. Louis Cardinals,5,1978,St. Louis Cardinals,,,1,NL,East,69,93,0.425925926,none,5,,n,,Busch Stadium II,1278215,15780,8th of 12,$,99,99,
Texas Rangers,18,1978,Texas Rangers,,,1,AL,West,87,75,0.537037037,none,2,,n,,Arlington Stadium,1447963,17658,9th of 14,$,100,100,
Toronto Blue Jays,26,1978,Toronto Blue Jays,,,1,AL,East,59,102,0.366459627,none,7,,n ,,Exhibition Stadium,1562585,19291,7th of 14,$,104,101,
Washington Nationals,24,1978,Montreal Expos,,,2,NL,East,76,86,0.469135802,none,4,,n ,,Stade Olympique,1427007,17838,7th of 12,$,98,99,
Boston Red Socks,10,1978,Boston Red Sox,,,1,AL,East,99,64,0.607361963,toppct,2,,n,,Fenway Park,2320643,28301,2nd of 14,$,110,112,
Los Angeles Angels of Anaheim,17,1979,California Angels,,,3,AL,West,88,74,0.543209877,none,1,Lost ALCS ,n ,3-1),Anaheim Stadium,2523575,31155,2nd of 14,$,96,96,
Cincinnati Reds,3,1979,Cincinnati Reds,,,1,NL,West,90,71,0.559006211,none,1,Lost NLCS ,n,3-0),Riverfront Stadium,2356933,29462,3rd of 12,$,101,101,
Baltimore Orioles,9,1979,Baltimore Orioles,,,1,AL,East,102,57,0.641509434,none,1,Lost_WS ,n ,4-3),Memorial Stadium,1681009,21279,6th of 14,$,95,97,
Pittsburgh Pirates,4,1979,Pittsburgh Pirates,,,1,NL,East,98,64,0.604938272,both,1,Won_WS ,y,4-3),Three Rivers Stadium,1435454,17722,10th of 12,$,105,105,
Atlanta Braves,1,1979,Atlanta Braves,,,1,NL,West,66,94,0.4125,none,6,,n ,,Atlanta-Fulton County Stadium,769465,9740,11th of 12,$,109,107,
Boston Red Socks,10,1979,Boston Red Sox,,,1,AL,East,91,69,0.56875,none,3,,n,,Fenway Park,2353114,29414,3rd of 14,$,106,106,
Chicago Cubs,2,1979,Chicago Cubs,,,1,NL,East,80,82,0.49382716,none,5,,n,,Wrigley Field,1648587,20353,6th of 12,$,111,110,
Chicago White Sox,11,1979,Chicago White Sox,,,1,AL,West,73,87,0.45625,none,5,,n,,Comiskey Park I,1280702,16211,10th of 14,$,101,100,
Cleveland Indians,12,1979,Cleveland Indians,,,1,AL,East,81,80,0.50310559,none,6,,n,,Cleveland Stadium,1011644,12489,12th of 14,$,101,101,
Detroit Tigers,13,1979,Detroit Tigers,,,1,AL,East,85,76,0.527950311,none,5,,n,,Tiger Stadium,1630929,20387,7th of 14,$,103,103,
Houston Astros,19,1979,Houston Astros,,,1,NL,West,89,73,0.549382716,none,2,,n,,Astrodome,1900312,23461,5th of 12,$,94,94,
Kansas City Royals,21,1979,Kansas City Royals,,,1,AL,West,85,77,0.524691358,none,2,,n,,Royals Stadium,2261845,27924,4th of 14,$,101,102,
Los Angeles Dodgers,8,1979,Los Angeles Dodgers,,,1,NL,West,79,83,0.487654321,none,3,,n,,Dodger Stadium,2860954,35320,1st of 12,$,98,99,
Milwaukee Brewers,22,1979,Milwaukee Brewers,,,1,AL,East,95,66,0.590062112,none,2,,n,,County Stadium,1918343,23683,5th of 14,$,99,100,
Minnesota Twins,14,1979,Minnesota Twins,,,1,AL,West,82,80,0.50617284,none,4,,n,,Metropolitan Stadium,1070521,13216,11th of 14,$,104,104,
New York Mets,20,1979,New York Mets,,,1,NL,East,63,99,0.388888889,none,6,,n,,Shea Stadium,788905,9621,12th of 12,$,97,96,
New York Yankees,15,1979,New York Yankees,,,1,AL,East,89,71,0.55625,none,4,,n ,,Yankee Stadium II,2537765,31330,1st of 14,$,96,98,
Oakland Athletics,16,1979,Oakland Athletics,,,1,AL,West,54,108,0.333333333,none,7,,n ,,Oakland-Alameda County Coliseum,306763,3787,14th of 14,$,96,94,
Philadelphia Phillies,6,1979,Philadelphia Phillies,,,1,NL,East,84,78,0.518518519,none,4,,n,,Veterans Stadium,2775011,34259,2nd of 12,$,102,103,
San Diego Padres,23,1979,San Diego Padres,,,1,NL,West,68,93,0.422360248,none,5,,n,,San Diego Stadium,1456967,17987,8th of 12,$,94,93,
San Francisco Giants,7,1979,San Francisco Giants,,,1,NL,West,71,91,0.438271605,none,4,,n,,Candlestick Park,1456402,17980,9th of 12,$,94,93,
Seattle Mariners,25,1979,Seattle Mariners,,,1,AL,West,67,95,0.413580247,none,6,,n,,Kingdome,844447,10425,13th of 14,$,104,102,
St. Louis Cardinals,5,1979,St. Louis Cardinals,,,1,NL,East,86,76,0.530864198,none,3,,n,,Busch Stadium II,1627256,19845,7th of 12,$,102,102,
Texas Rangers,18,1979,Texas Rangers,,,1,AL,West,83,79,0.512345679,none,3,,n,,Arlington Stadium,1519671,18761,8th of 14,$,98,99,
Toronto Blue Jays,26,1979,Toronto Blue Jays,,,1,AL,East,53,109,0.327160494,none,7,,n ,,Exhibition Stadium,1431651,17675,9th of 14,$,102,100,
Washington Nationals,24,1979,Montreal Expos,,,2,NL,East,95,65,0.59375,none,2,,n ,,Stade Olympique,2102173,25953,4th of 12,$,98,99,
New York Yankees,15,1980,New York Yankees,,,1,AL,East,103,59,0.635802469,toppct,1,Lost ALCS ,n ,3-0),Yankee Stadium II,2627417,32437,1st of 14,$,97,98,
Houston Astros,19,1980,Houston Astros,,,1,NL,West,93,70,0.570552147,toppct,1,Lost NLCS ,n ,3-2),Astrodome,2278217,28126,3rd of 12,$,91,92,
Kansas City Royals,21,1980,Kansas City Royals,,,1,AL,West,97,65,0.598765432,none,1,Lost_WS ,n ,4-2),Royals Stadium,2288714,28256,3rd of 14,$,100,100,
Philadelphia Phillies,6,1980,Philadelphia Phillies,,,1,NL,East,91,71,0.561728395,worldseries,1,Won_WS ,y,4-2),Veterans Stadium,2651650,32736,2nd of 12,$,105,105,
Atlanta Braves,1,1980,Atlanta Braves,,,1,NL,West,81,80,0.50310559,none,4,,n ,,Atlanta-Fulton County Stadium,1048411,13105,12th of 12,$,103,103,
Baltimore Orioles,9,1980,Baltimore Orioles,,,1,AL,East,100,62,0.617283951,none,2,,n,,Memorial Stadium,1797438,22191,6th of 14,$,98,99,
Boston Red Socks,10,1980,Boston Red Sox,,,1,AL,East,83,77,0.51875,none,5,,n,,Fenway Park,1956092,24149,4th of 14,$,105,106,
Chicago Cubs,2,1980,Chicago Cubs,,,1,NL,East,64,98,0.395061728,none,6,,n,,Wrigley Field,1206776,14898,8th of 12,$,109,107,
Chicago White Sox,11,1980,Chicago White Sox,,,1,AL,West,70,90,0.4375,none,5,,n,,Comiskey Park I,1200365,14819,10th of 14,$,100,100,
Cincinnati Reds,3,1980,Cincinnati Reds,,,1,NL,West,89,73,0.549382716,none,3,,n,,Riverfront Stadium,2022450,24664,5th of 12,$,100,101,
Cleveland Indians,12,1980,Cleveland Indians,,,1,AL,East,79,81,0.49375,none,6,,n,,Cleveland Stadium,1033827,13086,11th of 14,$,102,101,
Detroit Tigers,13,1980,Detroit Tigers,,,1,AL,East,84,78,0.518518519,none,4,,n,,Tiger Stadium,1785293,21772,7th of 14,$,102,102,
Los Angeles Angels of Anaheim,17,1980,California Angels,,,3,AL,West,65,95,0.40625,none,6,,n ,,Anaheim Stadium,2297327,28362,2nd of 14,$,97,97,
Los Angeles Dodgers,8,1980,Los Angeles Dodgers,,,1,NL,West,92,71,0.564417178,none,2,,n,,Dodger Stadium,3249287,39625,1st of 12,$,98,99,
Milwaukee Brewers,22,1980,Milwaukee Brewers,,,1,AL,East,86,76,0.530864198,none,3,,n,,County Stadium,1857408,22651,5th of 14,$,96,97,
Minnesota Twins,14,1980,Minnesota Twins,,,1,AL,West,77,84,0.47826087,none,3,,n,,Metropolitan Stadium,769206,9615,14th of 14,$,108,108,
New York Mets,20,1980,New York Mets,,,1,NL,East,67,95,0.413580247,none,5,,n,,Shea Stadium,1192073,14537,9th of 12,$,98,97,
Oakland Athletics,16,1980,Oakland Athletics,,,1,AL,West,83,79,0.512345679,none,2,,n ,,Oakland-Alameda County Coliseum,842259,10398,12th of 14,$,93,93,
Pittsburgh Pirates,4,1980,Pittsburgh Pirates,,,1,NL,East,83,79,0.512345679,none,3,,n ,,Three Rivers Stadium,1646757,20330,6th of 12,$,102,103,
San Diego Padres,23,1980,San Diego Padres,,,1,NL,West,73,89,0.450617284,none,6,,n,,San Diego Stadium,1139026,14062,10th of 12,$,95,94,
San Francisco Giants,7,1980,San Francisco Giants,,,1,NL,West,75,86,0.465838509,none,5,,n,,Candlestick Park,1096115,13532,11th of 12,$,98,97,
St. Louis Cardinals,5,1980,St. Louis Cardinals,,,1,NL,East,74,88,0.456790123,none,4,,n,,Busch Stadium II,1385147,17101,7th of 12,$,103,104,
Texas Rangers,18,1980,Texas Rangers,,,1,AL,West,76,85,0.472049689,none,4,,n,,Arlington Stadium,1198175,14977,9th of 14,$,96,97,
Toronto Blue Jays,26,1980,Toronto Blue Jays,,,1,AL,East,67,95,0.413580247,none,7,,n ,,Exhibition Stadium,1400327,17288,8th of 14,$,107,105,
Washington Nationals,24,1980,Montreal Expos,,,2,NL,East,90,72,0.555555556,none,2,,n ,,Stade Olympique,2208175,27602,4th of 12,$,99,100,
Seattle Mariners,25,1980,Seattle Mariners,,,1,AL,West,59,103,0.364197531,toppct,7,,n,,Kingdome,836204,10324,13th of 14,$,103,101,
Oakland Athletics,16,1981,Oakland Athletics,,,1,AL,West,64,45,0.587155963,toppct,1,Lost ALCS ,n ,3-0),Oakland-Alameda County Coliseum,1304052,23287,4th of 14,$,95,95,
Houston Astros,19,1981,Houston Astros,,,1,NL,West,61,49,0.554545455,none,3,Lost LDS ,n ,3-2),Astrodome,1321282,25907,4th of 12,$,94,95,
Kansas City Royals,21,1981,Kansas City Royals,,,1,AL,West,50,53,0.485436893,none,4,Lost LDS ,n ,3-0),Royals Stadium,1279403,27221,2nd of 14,$,98,99,
Milwaukee Brewers,22,1981,Milwaukee Brewers,,,1,AL,East,62,47,0.568807339,none,1,Lost LDS ,n ,3-2),County Stadium,874292,17843,9th of 14,$,94,95,
Philadelphia Phillies,6,1981,Philadelphia Phillies,,,1,NL,East,59,48,0.551401869,none,3,Lost LDS ,n ,3-2),Veterans Stadium,1638752,29795,2nd of 12,$,104,104,
Washington Nationals,24,1981,Montreal Expos,,,2,NL,East,60,48,0.555555556,none,2,Lost NLCS ,n ,3-2),Stade Olympique,1534564,27403,3rd of 12,$,100,101,
New York Yankees,15,1981,New York Yankees,,,1,AL,East,59,48,0.551401869,none,4,Lost_WS ,n ,4-2),Yankee Stadium II,1614353,31654,1st of 14,$,97,98,
Los Angeles Dodgers,8,1981,Los Angeles Dodgers,,,1,NL,West,63,47,0.572727273,worldseries,2,Won_WS ,y,4-2),Dodger Stadium,2381292,42523,1st of 12,$,96,97,
Atlanta Braves,1,1981,Atlanta Braves,,,1,NL,West,50,56,0.471698113,none,5,,n ,,Atlanta-Fulton County Stadium,535418,10708,9th of 12,$,103,102,
Baltimore Orioles,9,1981,Baltimore Orioles,,,1,AL,East,59,46,0.561904762,none,2,,n,,Memorial Stadium,1024247,18623,8th of 14,$,99,100,
Boston Red Socks,10,1981,Boston Red Sox,,,1,AL,East,59,49,0.546296296,none,5,,n,,Fenway Park,1060379,20007,6th of 14,$,106,107,
Chicago Cubs,2,1981,Chicago Cubs,,,1,NL,East,38,65,0.368932039,none,6,,n,,Wrigley Field,565637,9752,11th of 12,$,106,104,
Chicago White Sox,11,1981,Chicago White Sox,,,1,AL,West,54,52,0.509433962,none,3,,n,,Comiskey Park I,946651,19319,7th of 14,$,98,98,
Cleveland Indians,12,1981,Cleveland Indians,,,1,AL,East,52,51,0.504854369,none,6,,n,,Cleveland Stadium,661395,12248,12th of 14,$,100,100,
Detroit Tigers,13,1981,Detroit Tigers,,,1,AL,East,60,49,0.550458716,none,3,,n,,Tiger Stadium,1149144,20894,5th of 14,$,103,104,
Los Angeles Angels of Anaheim,17,1981,California Angels,,,3,AL,West,51,59,0.463636364,none,5,,n ,,Anaheim Stadium,1441545,26695,3rd of 14,$,99,100,
Minnesota Twins,14,1981,Minnesota Twins,,,1,AL,West,41,68,0.376146789,none,7,,n,,Metropolitan Stadium,469090,7690,14th of 14,$,108,107,
New York Mets,20,1981,New York Mets,,,1,NL,East,41,62,0.398058252,none,5,,n,,Shea Stadium,704244,13543,7th of 12,$,99,98,
Pittsburgh Pirates,4,1981,Pittsburgh Pirates,,,1,NL,East,46,56,0.450980392,none,4,,n ,,Three Rivers Stadium,541789,10623,10th of 12,$,104,104,
San Diego Padres,23,1981,San Diego Padres,,,1,NL,West,41,69,0.372727273,none,6,,n,,Jack Murphy Stadium,519161,9439,12th of 12,$,94,93,
San Francisco Giants,7,1981,San Francisco Giants,,,1,NL,West,56,55,0.504504505,none,4,,n,,Candlestick Park,632274,11930,8th of 12,$,98,98,
Seattle Mariners,25,1981,Seattle Mariners,,,1,AL,West,44,65,0.403669725,none,6,,n,,Kingdome,636276,11163,13th of 14,$,106,105,
St. Louis Cardinals,5,1981,St. Louis Cardinals,,,1,NL,East,59,43,0.578431373,none,1,,n,,Busch Stadium II,1010247,19061,6th of 12,$,102,103,
Texas Rangers,18,1981,Texas Rangers,,,1,AL,West,57,48,0.542857143,none,2,,n,,Arlington Stadium,850076,15180,10th of 14,$,94,94,
Toronto Blue Jays,26,1981,Toronto Blue Jays,,,1,AL,East,37,69,0.349056604,none,7,,n ,,Exhibition Stadium,755083,14247,11th of 14,$,108,106,
Cincinnati Reds,3,1981,Cincinnati Reds,,,1,NL,West,66,42,0.611111111,toppct,1,,n,,Riverfront Stadium,1093730,20254,5th of 12,$,102,102,
Los Angeles Angels of Anaheim,17,1982,California Angels,,,3,AL,West,93,69,0.574074074,none,1,Lost ALCS ,n ,3-2),Anaheim Stadium,2807360,34659,1st of 14,$,99,100,
Atlanta Braves,1,1982,Atlanta Braves,,,1,NL,West,89,73,0.549382716,none,1,Lost NLCS ,n ,3-0),Atlanta-Fulton County Stadium,1801985,22247,5th of 12,$,104,104,
Milwaukee Brewers,22,1982,Milwaukee Brewers,,,1,AL,East,95,67,0.586419753,toppct,1,Lost_WS ,n ,4-3),County Stadium,1978896,24133,4th of 14,$,93,94,
St. Louis Cardinals,5,1982,St. Louis Cardinals,,,1,NL,East,92,70,0.567901235,both,1,Won_WS ,y,4-3),Busch Stadium II,2111906,26073,4th of 12,$,101,101,
Baltimore Orioles,9,1982,Baltimore Orioles,,,1,AL,East,94,68,0.580246914,none,2,,n,,Memorial Stadium,1613031,19671,8th of 14,$,99,100,
Boston Red Socks,10,1982,Boston Red Sox,,,1,AL,East,89,73,0.549382716,none,3,,n,,Fenway Park,1950124,24076,5th of 14,$,106,107,
Chicago Cubs,2,1982,Chicago Cubs,,,1,NL,East,73,89,0.450617284,none,5,,n,,Wrigley Field,1249278,15423,10th of 12,$,103,102,
Chicago White Sox,11,1982,Chicago White Sox,,,1,AL,West,87,75,0.537037037,none,3,,n,,Comiskey Park I,1567787,19597,9th of 14,$,99,100,
Cincinnati Reds,3,1982,Cincinnati Reds,,,1,NL,West,61,101,0.37654321,none,6,,n,,Riverfront Stadium,1326528,16377,8th of 12,$,102,102,
Cleveland Indians,12,1982,Cleveland Indians,,,1,AL,East,78,84,0.481481481,none,6,,n,,Cleveland Stadium,1044021,12889,13th of 14,$,101,101,
Detroit Tigers,13,1982,Detroit Tigers,,,1,AL,East,83,79,0.512345679,none,4,,n,,Tiger Stadium,1636058,20198,7th of 14,$,99,100,
Houston Astros,19,1982,Houston Astros,,,1,NL,West,77,85,0.475308642,none,5,,n,,Astrodome,1558555,19241,7th of 12,$,92,92,
Kansas City Royals,21,1982,Kansas City Royals,,,1,AL,West,90,72,0.555555556,none,2,,n,,Royals Stadium,2284464,28203,2nd of 14,$,100,100,
